model_type,nt,pseudo_r2,pred_obs_r2,pred_obs_r2_exp,path,region,response,scale,rep
replicates,6900,0.4773998100904676,0.7904069565812056,0.6780686378380821,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_145.csv,GCFR,richness,QDS,145
replicates,8250,0.502891334730373,0.8102097533088252,0.6966969652278819,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_146.csv,GCFR,richness,QDS,146
replicates,8550,0.4955120514774687,0.8131967640598854,0.7018194278612065,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_147.csv,GCFR,richness,QDS,147
replicates,8e3,0.4902045406149754,0.8069057439927397,0.6941966781463826,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_148.csv,GCFR,richness,QDS,148
replicates,9450,0.5055250859508127,0.8254194690331946,0.7156611211871853,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_149.csv,GCFR,richness,QDS,149
replicates,7900,0.46935146966813723,0.806149209276679,0.6908449304073558,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_14.csv,GCFR,richness,QDS,14
replicates,7350,0.49305677085403654,0.7967661203254568,0.6860414989631798,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_150.csv,GCFR,richness,QDS,150
replicates,7550,0.49204501587271554,0.7997225831146676,0.6864348472973286,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_151.csv,GCFR,richness,QDS,151
replicates,7500,0.4863896329747448,0.7990566822820688,0.6865257028420906,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_152.csv,GCFR,richness,QDS,152
replicates,8750,0.4954724267940045,0.8159844302185906,0.7038699304526876,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_153.csv,GCFR,richness,QDS,153
replicates,7900,0.4866795757045371,0.8048972068086191,0.6902200753433313,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_154.csv,GCFR,richness,QDS,154
replicates,8750,0.48953529145218355,0.81623441262301355,0.7062692526324584,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_155.csv,GCFR,richness,QDS,155
replicates,7750,0.5047329695079448,0.8029232685098331,0.6899117708271759,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_156.csv,GCFR,richness,QDS,156
replicates,8150,0.5085354274692451,0.8083410324963054,0.6975029075850376,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_157.csv,GCFR,richness,QDS,157
replicates,7450,0.4837951624859811,0.7983689816151257,0.6869718435192456,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_158.csv,GCFR,richness,QDS,158
replicates,7850,0.49562381163930946,0.8042155054009793,0.6918616912259877,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_159.csv,GCFR,richness,QDS,159
replicates,7600,0.49187443866993186,0.8005058295181608,0.6880475457605458,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_15.csv,GCFR,richness,QDS,15
