species,n_collections
Capeochloa arundinacea,88
Disperis villosa,88
Drimia filifolia,88
Erica bicolor,88
Ficinia brevifolia,88
Kiggelaria africana,88
Lobostemon glaucophyllus,88
Moraea unguiculata,88
Pelargonium carnosum,88
Pelargonium crithmifolium,88
Searsia laevigata,88
Selago glutinosa,88
Widdringtonia nodiflora,88
Aspalathus aspalathoides,87
Asparagus microraphis,87
Gladiolus buckerveldii,87
Gnidia francisci,87
Gomphostigma incomptum,87
Hermannia scabricaulis,87
Indigofera angustifolia,87
Ornithogalum thyrsoides,87
Paranomus dregei,87
Ranunculus rionii,87
Restio virgeus,87
Tritoniopsis parviflora,87
Watsonia humilis,87
Agathosma serratifolia,86
Aspalathus submissa,86
Erica sphaerocephala,86
Gleichenia polypodioides,86
Hypodiscus laevigatus,86
Leucadendron elimense,86
Pelargonium capitatum,86
Protea nana,86
Searsia rosmarinifolia,86
Stilbe ericoides,86
Tribolium curvum,86
Vulpia myuros,86
Carpobrotus acinaciformis,85
Didelta carnosa,85
Ehrharta ottonis,85
Epischoenus quadrangularis,85
Erica strigosa,85
Heliophila africana,85
Hermannia filifolia,85
Holothrix cernua,85
Lyperia tristis,85
Otholobium bracteolatum,85
Pelargonium cordifolium,85
Ruschiella lunulata,85
Serruria nervosa,85
Watsonia angusta,85
Zaluzianskya benthamiana,85
Afrocarpus falcatus,84
Askidiosperma paniculatum,84
Aspalathus opaca,84
Aulax cancellata,84
Ehrharta barbinodis,84
Empleurum unicapsulare,84
Erica brevifolia,84
Erica tenuifolia,84
Felicia dubia,84
Gazania krebsiana,84
Lapeirousia silenoides,84
Lessertia diffusa,84
Metalasia muricata,84
Oscularia lunata,84
Watsonia borbonica,84
Anthospermum aethiopicum,83
Aspalathus collina,83
Briza minor,83
Cheilanthes contracta,83
Disa comosa,83
Erica cruenta,83
Erica filiformis,83
Erica perspicua,83
Erica unicolor,83
Erica viridiflora,83
Hirpicium alienatum,83
Leucospermum truncatum,83
Monoculus monstrosus,83
Otholobium fruticans,83
Pelargonium longicaule,83
Polygala garcinii,83
Rafnia amplexicaulis,83
Tetraria fasciata,83
Ursinia pinnata,83
Dimorphotheca sinuata,82
Diospyros pubescens,82
Erica umbelliflora,82
Gladiolus liliaceus,82
Glottiphyllum depressum,82
Lachenalia pallida,82
Melolobium candicans,82
Otholobium virgatum,82
Printzia polifolia,82
Searsia incisa,82
Agathosma foetidissima,81
Agathosma virgata,81
Bartholina burmanniana,81
Erica ferrea,81
Helichrysum foetidum,81
Helichrysum leontonyx,81
Lampranthus haworthii,81
Lobelia erinus,81
Oncosiphon grandiflorum,81
Paranomus dispersus,81
Protea acuminata,81
Rubus apetalus,81
Trachyandra flexifolia,81
Ursinia nudicaulis,81
Aristea zeyheri,80
Babiana hirsuta,80
Gnidia insignis,80
Hermannia flammula,80
Holothrix secunda,80
Mesembryanthemum aitonis,80
Myrovernix gnaphaloides,80
Paranomus bolusii,80
Pelargonium rapaceum,80
Phylica cryptandroides,80
Syncarpha gnaphaloides,80
Teedia lucida,80
Blechnum punctulatum,79
Bobartia paniculata,79
Cyrtanthus angustifolius,79
Didelta spinosa,79
Euphorbia burmanni,79
Foveolina dichotoma,79
Gnidia juniperifolia,79
Hakea sericea,79
Heliophila laciniata,79
Lampranthus reptans,79
Lobelia neglecta,79
Muraltia ericoides,79
Phaenocoma prolifera,79
Prismatocarpus fruticosus,79
Searsia angustifolia,79
Trachyandra muricata,79
Vachellia karroo,79
Wiborgia sericea,79
Agathosma betulina,78
Cysticapnos vesicaria,78
Dimorphotheca acutifolia,78
Disa bifida,78
Erica rubens,78
Gladiolus patersoniae,78
Grielum sinuatum,78
Helichrysum helianthemifolium,78
Otholobium hirtum,78
Pelargonium crispum,78
Rhoicissus kougabergensis,78
Silene undulata,78
Staberoha distachyos,78
Watsonia fourcadei,78
Amellus microglossus,77
Aristea bakeri,77
Aspalathus carnosa,77
Bulbine favosa,77
Cotula turbinata,77
Drosanthemum floribundum,77
Erica palliiflora,77
Erica spumosa,77
Euclea racemosa,77
Felicia aethiopica,77
Felicia australis,77
Gasteria carinata,77
Gethyllis villosa,77
Haworthia viscosa,77
Ixia orientalis,77
Lampranthus uniflorus,77
Lapeirousia corymbosa,77
Olinia ventosa,77
Pentameris densifolia,77
Pentameris tomentella,77
Phylica parviflora,77
Phylica rubra,77
Tritonia undulata,77
Wahlenbergia annularis,77
Agathosma imbricata,76
Argyroderma delaetii,76
Aspalathus cordata,76
Asparagus rubicundus,76
Brachystelma occidentale,76
Bromus ferronii,76
Brunia microphylla,76
Erica diaphana,76
Erica regerminans,76
Erica simulans,76
Ficinia capitella,76
Holothrix aspera,76
Indigofera humifusa,76
Metalasia acuta,76
Pelargonium alternans,76
Restio burchellii,76
Strumaria spiralis,76
Wurmbea punctata,76
Agathosma cerefolium,75
Arctotis aspera,75
Babiana patersoniae,75
Brabejum stellatifolium,75
Cliffortia stricta,75
Cliffortia triloba,75
Codon schenckii,75
Eberlanzia schneideriana,75
Ficinia oligantha,75
Hymenolepis incisa,75
Pelargonium coronopifolium,75
Pelargonium glutinosum,75
Scabiosa columbaria,75
Acmadenia tetragona,74
Anginon difforme,74
Chrysitrix capensis,74
Disa obtusa,74
Erica exleeana,74
Erica penicilliformis,74
Hesperantha cucullata,74
Hypodiscus neesii,74
Leucospermum tottum,74
Lotononis pungens,74
Mesembryanthemum sinuosum,74
Oscularia deltoides,74
Phylica rigidifolia,74
Protea canaliculata,74
Protea obtusifolia,74
Restio pedicellatus,74
Tribolium obliterum,74
Ursinia caledonica,74
Agathosma marifolia,73
Agathosma squamosa,73
Anisodontea scabrosa,73
Aristida junciformis,73
Chironia stokoei,73
Disa sagittalis,73
Erica petraea,73
Euphorbia caput-medusae,73
Freylinia crispa,73
Gastrodia sesamoides,73
Heeria argentea,73
Hermannia flammea,73
Indigofera alopecuroides,73
Limeum africanum,73
Monsonia salmoniflora,73
Moraea debilis,73
Nemesia anisocarpa,73
Othonna leptodactyla,73
Phylica pinea,73
Priestleya sericea,73
Relhania calycina,73
Salvia africana-lutea,73
Sarcocornia natalensis,73
Tetraria picta,73
Theilera guthriei,73
Tritonia chrysantha,73
Agathosma bisulca,72
Aspalathus altissima,72
Babiana fragrans,72
Babiana tubiflora,72
Crossyne flava,72
Disa cornuta,72
Erica distorta,72
Haemanthus pubescens,72
Haworthia retusa,72
Lebeckia plukenetiana,72
Mesembryanthemum longistylum,72
Mesembryanthemum nodiflorum,72
Otholobium candicans,72
Othonna amplexifolia,72
Pteronia fasciculata,72
Sebaea aurea,72
Tripteris oppositifolia,72
Wiborgia mucronata,72
Willdenowia teres,72
Aspalathus galeata,71
Bulbinella divaginata,71
Cliffortia dregeana,71
Ehrharta triandra,71
Erica glutinosa,71
Fuirena hirsuta,71
Hermannia multiflora,71
Lampranthus leptaleon,71
Leucospermum praemorsum,71
Leucospermum royenifolium,71
Mitrophyllum clivorum,71
Pelargonium fulgidum,71
Plecostachys serpyllifolia,71
Podocarpus elongatus,71
Rhodocoma gigantea,71
Senecio rosmarinifolius,71
Acrolophia capensis,70
Athrixia heterophylla,70
Berkheya fruticosa,70
Bobartia fasciculata,70
Cannomois scirpoides,70
Carpobrotus edulis,70
Crotalaria excisa,70
Delosperma asperulum,70
Elegia spathacea,70
Erica speciosa,70
Gongyloglossa tortilis,70
Gymnodiscus capillaris,70
Heliophila descurva,70
Hesperantha acuta,70
Lobelia pinifolia,70
Manochlamys albicans,70
Pelargonium denticulatum,70
Pelargonium senecioides,70
Podalyria hirsuta,70
Podalyria microphylla,70
Pseudobaeckea cordata,70
Psoralea plauta,70
Rafnia diffusa,70
Relhania pungens,70
Restio bifarius,70
Restio dispar,70
Serruria florida,70
Vulpia muralis,70
Wachendorfia multiflora,70
Xipotheca tecta,70
Albuca suaveolens,69
Anisodontea triloba,69
Barleria pungens,69
Chaenostoma caeruleum,69
Cyclopia intermedia,69
Diosma oppositifolia,69
Erica glauca,69
Erica lasciva,69
Erica oresigena,69
Indigofera denudata,69
Indigofera dillwynioides,69
Indigofera sarmentosa,69
Liparia hirsuta,69
Moraea villosa,69
Oedera capensis,69
Pelargonium abrotanifolium,69
Pentameris rigidissima,69
Phylica villosa,69
Prismatocarpus campanuloides,69
Protea susannae,69
Restio egregius,69
Utricularia bisquamata,69
Viscum capense,69
Acmadenia matroosbergensis,68
Albuca canadensis,68
Aspalathus alpestris,68
Babiana salteri,68
Babiana villosula,68
Berkheya cuneata,68
Brunia phylicoides,68
Conophytum obcordellum,68
Erica orthiocola,68
Heliophila carnosa,68
Hypodiscus willdenowia,68
Leucadendron cinereum,68
Macledium spinosum,68
Marsilea burchellii,68
Mesembryanthemum tetragonum,68
Pentameris argentea,68
Psoralea oligophylla,68
Restio perplexus,68
Satyrium longicolle,68
Aspalathus microphylla,67
Bulbine cepacea,67
Bulbinella latifolia,67
Ceratocaryum argenteum,67
Cineraria lobata,67
Corycium carnosum,67
Cyclopia maculata,67
Erica nutans,67
Erica puberuliflora,67
Freylinia lanceolata,67
Gnidia nodiflora,67
Hermannia saccifera,67
Lachnaea penicillata,67
Macrostylis villosa,67
Muraltia brevicornu,67
Muraltia ericaefolia,67
Notobubon capense,67
