region,lon,lat,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,PC1,PC2
GCFR,24.2,-33.55,1.0307774528672302,2.2871113448933547,2.7962270628870263,2.0090268639280398,1.7606418255417264,0.5964451854467627,0.5519066415264932,1.2689772342488475,1.3748806383689303,4.688496378254893,-1.0240362695483731
GCFR,24.3,-33.55,1.838940533089902,2.6337922682444166,2.9723663938124085,2.6135804515899954,1.7661029534355315,1.752248662470419,1.1126507099082,1.7337214655777815,1.7269874850949738,6.150205679084216,-0.7728799892847507
GCFR,24.4,-33.55,1.7344558149562075,2.3734524867475373,2.7124504223493027,2.1903021051145477,1.7950482720976504,1.0961695501800077,0.9564712907638039,1.7830446139050966,1.653098608337675,5.540249077982565,-0.7989840796177959
GCFR,24.5,-33.55,1.893912912629974,2.320041555357531,2.550915544032446,1.9651040391135346,2.112960671140234,1.1634262386382632,1.0124567168242582,1.7899336542647284,1.5960782312044706,5.550906373113423,-0.6707215453745785
GCFR,24.6,-33.55,1.0483683173489715,1.6944245760388825,2.259787487131739,0.3949088098292056,1.5789967964722884,0.45290221088718413,-0.029286096551281532,-1.4940525036411565,0.965849637213675,2.266716766831391,-1.2375028807796333
GCFR,24.7,-33.55,1.9501526569720256,2.016761927940559,2.47106124349271,2.085880335239105,2.0333145557860357,0.8581369880014904,-0.049174235317676535,1.1733532722991271,1.3383791256450934,4.812722124053401,-1.2590546416876418
GCFR,24.799999999999997,-33.55,2.217504237853718,2.491914382228271,2.7705113635024863,2.447320294206383,2.032797854360983,1.215699681583839,0.4619533280727706,1.714721621488247,1.5304614841116666,5.8060561310794165,-1.2347814369624215
GCFR,24.9,-33.55,1.9664103482124355,2.45337410592297,2.705605162382414,2.23582629952762,2.0106498068250307,0.7999345150708054,0.4846310313374631,1.672007038551401,1.1851929983020786,5.3487621808972,-1.3685000793897695
GCFR,25,-33.55,1.9638319012035301,2.2561064133019326,2.4638391693514627,2.1097068569464517,0.4010505221746618,-0.32430156582582864,1.375000632311394,1.0199424033087303,0.9434249827737065,4.197333511573599,-1.6594170661315673
GCFR,25.1,-33.55,1.9227070196902025,1.9984400443072508,2.2257835823034644,1.8362608190737746,1.0841158171126648,0.1874739411607237,1.3244013648883284,1.1654771248252056,1.1157700575686524,4.364198639569969,-1.0599339615681154
GCFR,25.2,-33.55,1.6893245594752755,1.6753640317551537,1.7024478036546302,1.3833277395944852,0.319723064225815,-0.005506675277681516,1.4649957727584277,0.40522654123297813,0.6379013484534095,3.110178502888445,-1.0446394865843973
GCFR,25.299999999999997,-33.55,1.3471852949029028,0.3861135204895599,0.949320838035862,1.0699082114416116,0.2602904340129187,0.5037840463188227,1.0139526400182717,0.20351110627744076,0.11267262433889787,1.9303311112991266,-0.3713148310732194
