region,dgc,lat,lon,n_collections,DS_richness,mean_HDS_richness
SWAFR,E124S29,-29.5,124.5,NA,NA,NA
SWAFR,E124S28,-28.5,124.5,NA,NA,NA
SWAFR,E124S27,-27.5,124.5,NA,NA,NA
SWAFR,E124S26,-26.5,124.5,NA,NA,NA
SWAFR,E124S25,-25.5,124.5,NA,NA,NA
SWAFR,E125S35,-35.5,125.5,NA,NA,NA
SWAFR,E125S34,-34.5,125.5,NA,NA,NA
SWAFR,E125S33,-33.5,125.5,NA,NA,NA
SWAFR,E125S32,-32.5,125.5,NA,NA,NA
SWAFR,E125S31,-31.5,125.5,NA,NA,NA
SWAFR,E125S30,-30.5,125.5,NA,NA,NA
SWAFR,E125S29,-29.5,125.5,NA,NA,NA
SWAFR,E125S28,-28.5,125.5,NA,NA,NA
SWAFR,E125S27,-27.5,125.5,NA,NA,NA
SWAFR,E125S26,-26.5,125.5,NA,NA,NA
SWAFR,E125S25,-25.5,125.5,NA,NA,NA
SWAFR,E126S35,-35.5,126.5,NA,NA,NA
SWAFR,E126S34,-34.5,126.5,NA,NA,NA
SWAFR,E126S33,-33.5,126.5,NA,NA,NA
SWAFR,E126S32,-32.5,126.5,NA,NA,NA
SWAFR,E126S31,-31.5,126.5,NA,NA,NA
SWAFR,E126S30,-30.5,126.5,NA,NA,NA
SWAFR,E126S29,-29.5,126.5,NA,NA,NA
SWAFR,E126S28,-28.5,126.5,NA,NA,NA
SWAFR,E126S27,-27.5,126.5,NA,NA,NA
SWAFR,E126S26,-26.5,126.5,NA,NA,NA
SWAFR,E126S25,-25.5,126.5,NA,NA,NA
