species,n_collections
Satyrium erectum,145
Searsia laevigata,145
Searsia pallens,145
Stylapterus fruticulosus,145
Aira cupaniana,144
Babiana inclinata,144
Ceratandra atrata,144
Epischoenus adnatus,144
Erica scabriuscula,144
Eriocephalus racemosus,144
Gongyloglossa tortilis,144
Hyobanche sanguinea,144
Lotononis involucrata,144
Metalasia brevifolia,144
Passerina truncata,144
Spatalla curvifolia,144
Elegia capensis,143
Hypocalyptus sophoroides,143
Leucadendron aibum,143
Pentameris uniflora,143
Anemia caffrorum,142
Brunsvigia radula,142
Diosma acmaeophylla,142
Ficinia lateralis,142
Galenia africana,142
Leucadendron lanigerum,142
Mesembryanthemum aitonis,142
Pelargonium alchemilloides,142
Restio paniculatus,142
Scabiosa albanensis,142
Erica eremioides,141
Hermannia scabricaulis,141
Pteronia glauca,141
Spatalla confusa,141
Ursinia chrysanthemoides,141
Aspalathus crassisepala,140
Cyanella hyacinthoides,140
Didelta carnosa,140
Hermannia flammea,140
Tetraria compar,140
Thamnochortus insignis,140
Chironia stokoei,138
Coleonema juniperinum,138
Crassula tetragona,138
Indigofera capillaris,138
Lachnaea axillaris,138
Lapeirousia pyramidalis,138
Polygala bracteolata,138
Spiloxene aquatica,138
Triglochin bulbosa,138
Aspalathus arida,137
Aspalathus spinescens,137
Erica sparsa,137
Erica transparens,137
Gladiolus bullatus,137
Oedera imbricata,137
Aspalathus sericea,136
Babiana hirsuta,136
Ficinia deusta,136
Leucadendron meridianum,136
Leucospermum vestitum,136
Liparia splendens,136
Otholobium fruticans,136
Protea eximia,136
Satyrium stenopetalum,136
Trachyandra lanata,136
Watsonia meriana,136
Asclepias macropus,135
Aspalathus cymbiformis,135
Indigofera filifolia,135
Pelargonium capitatum,135
Pentameris aristidoides,135
Pleiospilos compactus,135
Serruria aemula,135
Cleretum papulosum,134
Erica intervallaris,134
Erica viscaria,134
Helichrysum dasyanthum,134
Hesperantha bachmannii,134
Leucadendron arcuatum,134
Osteospermum pinnatum,134
Passerina obtusifolia,134
Erica denticulata,133
Leucadendron laureolum,133
Leucospermum prostratum,133
Olinia ventosa,133
Otholobium bracteolatum,133
Protea scolymocephala,133
Satyrium bicorne,133
Anthospermum spathulatum,132
Chlorophytum viscosum,132
Cliffortia atrata,132
Disa arida,132
Erepsia bracteata,132
Helichrysum indicum,132
Pentzia incana,132
Widdringtonia nodiflora,132
Disa filicornis,131
Limonium scabrum,131
Micranthus alopecuroides,131
Nemesia ligulata,131
Priestleya sericea,131
Rafnia angulata,131
Circandra serrata,130
Cyanella lutea,130
Erica triceps,130
Psoralea affinis,130
Psoralea laxa,130
Pterygodium alatum,130
Serruria pedunculata,130
Athanasia microcephala,129
Aulax pallasia,129
Cheilanthes hastata,129
Erica multumbellifera,129
Geissorhiza rosea,129
Restio ocreatus,129
Serruria cygnea,129
Spatalla incurva,129
Wahlenbergia suffruticosa,129
Babiana sambucina,128
Brunia paleacea,128
Cheiridopsis namaquensis,128
Cladoraphis cyperoides,128
Disa racemosa,128
Erepsia ramosa,128
Hermannia filifolia,128
Oxalis pardalis,128
Pelargonium reniforme,128
Calobota angustifolia,127
Erica peltata,127
Erica totta,127
Leucadendron brunioides,127
Microdon dubius,127
Protea scabra,127
Putterlickia pyracantha,127
Satyrium bracteatum,127
Aspalathus araneosa,126
Cassine schinoides,126
Centella virgata,126
Cyphia volubilis,126
Ficinia dunensis,126
Ficinia tristachya,126
Gleichenia polypodioides,126
Paranomus bracteolaris,126
Protea burchellii,126
Thesium strictum,126
Aloe vera,125
Cliffortia polygonifolia,125
Corycium orobanchoides,125
Erica ferrea,125
Erica perspicua,125
Foveolina dichotoma,125
Halleria lucida,125
Haworthia springbokvlakensis,125
Kiggelaria africana,125
Melolobium candicans,125
Oftia africana,125
Otholobium virgatum,125
Phylica paniculata,125
Searsia incisa,125
Aspalathus rugosa,124
Disa inflexa,124
Erica vallis-aranearum,124
Lampranthus stipulaceus,124
Tetraria robusta,124
Thamnochortus fruticosus,124
Aspalathus biflora,123
Aspalathus rosea,123
Ballota africana,123
Haemanthus amarylloides,123
Heliotropium supinum,123
Stilbe ericoides,123
Vachellia karroo,123
Erica spectabilis,122
Hessea breviflora,122
Mesembryanthemum nitidum,122
Pterygodium acutifolium,122
Satyrium coriifolium,122
Babiana ambigua,121
Brunsvigia nervosa,121
Diospyros glabra,121
Disperis villosa,121
Erica subdivaricata,121
Felicia aethiopica,121
Indigofera angustifolia,121
Lycium horridum,121
Moraea bolusii,121
Salix mucronata,121
Salvia africana-lutea,121
Spatalla racemosa,121
Anisodontea scabrosa,120
Asplenium cordatum,120
Disa obliqua,120
Erica curvirostris,120
Erica gracilis,120
Gazania krebsiana,120
Helichrysum tinctum,120
Hirpicium alienatum,120
Indigofera amoena,120
Lotononis falcata,120
Relhania calycina,120
Satyrium humile,120
Tetraria bromoides,120
Watsonia humilis,120
Blechnum punctulatum,119
Bulbine lagopus,119
Disa bivalvata,119
Erica ericoides,119
Erica pectinifolia,119
Freesia verrucosa,119
Geissorhiza ovata,119
Pelargonium laevigatum,119
Sarcocornia natalensis,119
Selaginella pygmaea,119
Soulangia oleifolia,119
Theilera guthriei,119
Briza minor,118
Eberlanzia schneideriana,118
Epilobium capense,118
Gomphocarpus cancellatus,118
Gomphostigma incomptum,118
Hermannia macra,118
Lapeirousia anceps,118
Leucadendron tinctum,118
Restio duthieae,118
Watsonia borbonica,118
Aristida diffusa,117
Corymbium villosum,117
Cotula thunbergii,117
Erica eriocephala,117
Erica simulans,117
Hymenolepis parviflora,117
Lobelia erinus,117
Marsilea burchellii,117
Dolichothrix ericoides,116
Erica formosa,116
Grielum sinuatum,116
Ixia micrandra,116
Leucospermum lineare,116
Muraltia harveyana,116
Pelargonium peltatum,116
Afrocarpus falcatus,115
Aspalathus aspalathoides,115
Aspalathus steudeliana,115
Coelidium obtusilobum,115
Disa cornuta,115
Erica inflata,115
Erica lucida,115
Erica seriphiifolia,115
Gibbaeum esterhuyseniae,115
Gomphocarpus tomentosus,115
Hermbstaedtia odorata,115
Indigofera incana,115
Leucospermum wittebergense,115
Monsonia salmoniflora,115
Teedia lucida,115
Tetraria capillacea,115
Watsonia schlechteri,115
Euphorbia caput-medusae,114
Gnidia chrysophylla,114
Protea coronata,114
Protea obtusifolia,114
Acrolophia capensis,113
Brunsvigia pulchra,113
Carpobrotus acinaciformis,113
Dilatris ixioides,113
Diosma oppositifolia,113
Erica cordata,113
Erica densifolia,113
Helichrysum revolutum,113
Lachenalia orchioides,113
Muraltia satureioides,113
Osteospermum grandiflorum,113
Pelargonium fruticosum,113
Restio curviramis,113
Tetragonia spicata,113
Anthospermum aethiopicum,112
Bobartia macrospatha,112
Dimorphotheca pluvialis,112
Erica tenuifolia,112
Oedera sedifolia,112
Pelargonium pinnatum,112
Restio bifarius,112
Tetraria ustulata,112
Ammocharis longifolia,111
Cotula turbinata,111
