region,dgc,lat,lon,n_collections,DS_richness,mean_HDS_richness,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,PC1,PC2,PC1_residual,multivariate_residual
SWAFR,E114S27,-27.5,114.5,16455,1373,695.5,-0.24136637567002936,-0.4041417094987043,-0.5152101784525692,-0.357928908899483,-0.7290620360769269,1.6078191442214076,-0.21867295180243684,0.2398405865243939,-0.048222286269224625,-0.7143139084202341,0.8793059985985177,-388.7037939757895,-76.86912401550208
SWAFR,E115S28,-28.5,115.5,10278,1382,650.25,-0.43332571525529223,-0.04000883885620114,-0.5132961319060333,-1.1749554606395882,-0.13985998058454585,-0.5882889613419828,-0.02317241892696619,-0.1422069658445643,-0.4654240077335811,-1.0722106350025937,-0.9032797928066812,-296.9876579242857,-334.28012357909154
SWAFR,E115S29,-29.5,115.5,20042,1977,996.25,0.4660609413802962,0.38156055339702544,-0.2888237228949726,0.2957495324264045,0.05886772942186149,-0.5002270404273863,0.5201157316602635,-0.4081603250141173,0.2564925343465802,0.325425598838978,-0.26031169437957535,-25.00561333536207,-181.69256053354812
SWAFR,E115S30,-30.5,115.5,27477,2024,1082.25,0.4770512139602164,0.18567711794837163,-0.3625015015949129,0.23574759379148,-0.11825309108967212,1.220317204574048,1.1284427502591174,0.5131321541073729,0.14800849375041827,0.6477136379282181,0.53238231364075,-52.49196458994192,117.35707807168221
SWAFR,E116S28,-28.5,116.5,2944,647,305,-1.153346966390211,-0.7153324097002594,-0.7099857253992232,-0.8151614075520657,-1.1639914684272077,0.07225590841868144,-0.9793703670036076,5.829791578842606e-4,-0.6174983165131821,-2.032695455941202,-0.2762305339950956,-810.0029700987612,-622.1446774127936
SWAFR,E116S29,-29.5,116.5,9284,1394,666.5,-1.5366581786537337,-0.7850915649119508,-0.8060850504476393,-0.2287174054727665,-1.4692117798283342,0.037363423435423385,-2.005400975949212,-0.7737755510728822,-0.5456637126808125,-2.5590885174137417,0.05545012144757809,58.655589075879426,232.36842613800434
SWAFR,E116S30,-30.5,116.5,19307,1958,971.75,-0.7278045365292877,0.12836252921365618,-0.5588884015844338,-0.6027810001282639,0.20107723370155212,-2.565787111798843,0.13333481693026236,-1.4180787162573563,0.19682166095582287,-1.0056866463337106,-2.0543006506978667,263.6374953986582,-240.55654746955648
SWAFR,E116S31,-31.5,116.5,35472,2632,1368.75,-0.6671257784726056,1.1282077314935575,-0.8790821356994891,0.7777568797388958,0.69850021762317,-2.582345976659726,0.6371028128004232,0.6846305611661341,0.5812253270914066,1.0710688855659685,-2.7993040546476613,457.66330071208995,259.17498744553484
SWAFR,E116S32,-32.5,116.5,26756,2275,1152,-0.5022163592660313,1.48829338406027,-0.7868910316532952,1.354912804279476,0.9780061074577331,0.2967685287513977,0.6304074110189859,1.2335895604743703,0.4749493590700633,1.933796437114809,-1.0878579244853455,-98.72798797261632,190.2591533210795
SWAFR,E116S33,-33.5,116.5,13066,1804,917,-1.0142053391598242,1.136271778471389,-0.43439936786074546,1.3486706799151795,0.8331404481865536,0.6426771380252198,1.0649932007433391,1.017083275516685,0.40189816586888305,1.7306003317444119,-0.9463081392002921,-522.7658465262466,-223.73212811460712
SWAFR,E116S34,-34.5,116.5,26743,1932,1104.75,0.2735907968956439,1.4017387142525746,0.5671737028412152,1.217576710610858,0.8690253703490692,0.7467444704306953,0.25119475812919345,2.1127879102010563,0.5527225080174081,2.741988148577213,-0.08161284352677989,-628.5150988785837,-174.20220518656683
SWAFR,E117S30,-30.5,117.5,8884,1208,599.75,-0.8003711199442114,-1.2195019439125807,-0.4197117307039975,-0.5140501183096733,-1.769910726127483,-1.379431105505337,-0.3368010200895641,-0.7858613093042851,-2.4677325752579495,-3.2257563522464396,-0.49657436722740517,26.734079409579245,-140.2545570872202
SWAFR,E117S31,-31.5,117.5,14006,1675,883.75,-0.9257690283569733,-0.7699598339514344,-1.6809209763068467,-1.5027439082746308,-0.7350335098797205,-1.6025281206734123,0.12531131691528688,-1.3541314849857649,-0.6191835016245109,-2.780793741568519,-1.6390735181432532,390.89550864607315,26.604296949268974
SWAFR,E117S32,-32.5,117.5,14044,1781,887.5,-0.7853970772118664,-0.10500513562721148,-1.6313683698851158,-0.7052601101934491,-0.3000102234959423,0.5919553935139114,0.8242865091466043,-0.2663950801630253,-0.33615653971683473,-1.1987085514467197,-0.7228078264040552,131.24820284130925,201.12948529109107
SWAFR,E117S33,-33.5,117.5,10262,1730,849.75,-2.1591657679406255,0.17298105529769017,-0.6041453186978459,-1.0200107211191545,0.12071579825635936,-0.19704811338957737,1.272012291471638,0.37814121181891386,-0.14378138247922767,-0.624424754050816,-2.0644363015751357,-52.47873537683754,82.56389431860212
SWAFR,E117S34,-34.5,117.5,35917,2507,1385.5,0.266969130095379,1.313165632324072,1.3124513534521556,1.4914362103784196,1.5014954854431837,0.26280218178968773,0.10451247338116595,1.3219768116911486,1.2006882189094252,3.2485603313383304,0.003453597563619029,-170.59270947677237,63.13163583260687
SWAFR,E118S31,-31.5,118.5,11607,1370,732.5,-0.4779291111013881,-1.055729540266999,-0.08472440655926781,-0.4568480540249159,-1.254200488468502,-0.023444530317859803,-0.48453030370781164,-1.137822423356464,-2.076747295320317,-2.657276329504462,0.5614262925038752,57.34849409641897,-3.450287088610672
SWAFR,E118S32,-32.5,118.5,10390,1542,780.25,-0.9142303306106829,-1.5773902717987993,-0.059499074169051244,-0.28911873002353206,-2.3206863610926303,0.9945461933243229,-0.08208926264859148,-1.5659224155595477,-0.799010055800749,-2.823759003218431,1.3230427663146995,267.82552522392734,282.3544834966802
SWAFR,E118S33,-33.5,118.5,14919,1777,910.5,-1.5402646421729875,-0.6866616941191698,0.5008571883298772,-1.488785404785399,-0.3850385342175119,-0.29803579260704705,0.7192282194809725,0.25374517195394586,-1.1089367120343567,-1.4124972786463046,-1.0333303183387723,176.65848276810618,252.70554237617083
SWAFR,E119S32,-32.5,119.5,9195,1408,700.75,-0.6612300653449082,-2.1821782306976605,-0.43132456711288175,-0.8296836431403029,-0.04707482099786591,1.3389542512512955,0.05152069966630417,-0.6115042720760311,-0.06301040434804989,-1.6443159625553945,1.0031719856375731,-138.76420184090708,-166.70401450625602
SWAFR,E119S33,-33.5,119.5,19170,2043,1051.25,0.2228474122731464,-0.35455558415560057,0.33242223352974914,-0.6844499789313441,0.5132155313913078,-0.7730453302674928,-1.2207599213412765,0.7255176168008588,0.23147302520835178,0.06622509779948328,-0.25504853994110616,100.90011453573925,116.28027818694574
SWAFR,E120S33,-33.5,120.5,21298,1929,921.25,0.5845082955251034,0.009404179187795675,-0.4983302716166277,-1.4964908207695888,-0.12163613889444393,-0.5407200135981304,-1.1159837789659675,-0.07459525295920172,-0.6555237038965674,-1.2048839698220006,-0.20019064924384308,280.67544905108184,261.7314384948515
SWAFR,E121S33,-33.5,121.5,13970,1709,795.25,0.23366856630297195,0.5217126128754807,-0.7415535936824004,-1.074714295947281,0.17741764903100526,-0.49025685750858733,-1.1164299563952262,-0.13856659464027754,-0.395214694713506,-0.7921343114933166,-0.5475140037827356,-34.71815015712595,-9.368942296264489
SWAFR,E122S33,-33.5,122.5,13590,1576,761.25,0.10817200769279116,0.40680957996481165,-0.5360525767374047,-0.6823508940805254,-0.009612508473602004,-0.31039464717347304,-2.6579079551344105,-0.8020418192342256,-1.0471237031701794,-1.5562694710101366,0.19949588174085245,8.886728071023306,87.59446736749922
