region,hdgc,HDS_richness,n_QDS,mean_QDS_richness,mean_QDS_jaccard,add_residual_turnover,add_residual_turnover_prop,mul_residual_turnover
Cape,E016S29B,139,2,71,0.97841726618705,68,0.4892086330935252,1.9577464788732395
Cape,E019S30D,33,2,17,0.96969696969697,16,0.48484848484848486,1.9411764705882353
Cape,E019S30A,23,3,7.666666666666667,1,15.333333333333332,0.6666666666666666,3
Cape,E026S33A,46,3,15.666666666666666,0.992592592592593,30.333333333333336,0.6594202898550725,2.9361702127659575
Cape,E018S29A,7,2,3.5,1,3.5,0.5,2
Cape,E023S34A,118,2,63.5,0.923728813559322,54.5,0.461864406779661,1.858267716535433
Cape,E025S33B,18,4,5,0.972916666666667,13,0.7222222222222222,3.6
Cape,E024S34A,64,2,34,0.9375,30,0.46875,1.8823529411764706
Cape,E019S29A,13,2,6.5,1,6.5,0.5,2
Cape,E017S28D,8,2,4,1,4,0.5,2
SWA,E114S28D,1297,4,565,0.743298923219602,732,0.5643793369313801,2.295575221238938
SWA,E115S27D,336,4,103.75,0.91620773712412,232.25,0.6912202380952381,3.23855421686747
SWA,E117S28C,480,4,153.5,0.90348751243253,326.5,0.6802083333333333,3.1270358306188926
SWA,E114S28B,923,4,376,0.785236593635476,547,0.5926327193932828,2.4547872340425534
SWA,E116S30B,851,4,381,0.719973414880631,470,0.5522914218566393,2.2335958005249346
SWA,E116S31B,1053,4,433.75,0.753150266503111,619.25,0.5880816714150048,2.427665706051873
SWA,E115S28A,539,4,193.25,0.871815261490979,345.75,0.641465677179963,2.7891332470892625
SWA,E117S31D,974,4,399,0.783652017781874,575,0.5903490759753593,2.4411027568922306
SWA,E116S32B,1208,4,512.25,0.750478332673295,695.75,0.5759519867549668,2.358223523670083
SWA,E116S31D,1409,4,622.5,0.739114648212775,786.5,0.5581973030518098,2.263453815261044
SWA,E117S29C,609,4,232.75,0.836553321642181,376.25,0.617816091954023,2.6165413533834587
SWA,E116S27C,183,3,69.66666666666667,0.947581933325817,113.33333333333333,0.6193078324225865,2.6267942583732053
SWA,E116S28D,243,4,74.75,0.932873462649137,168.25,0.6923868312757202,3.250836120401338
SWA,E118S31C,735,4,311.5,0.761071101904712,423.5,0.5761904761904761,2.359550561797753
SWA,E116S28C,374,4,134.75,0.857597786426933,239.25,0.6397058823529411,2.7755102040816326
SWA,E118S31A,910,4,377.75,0.754980743809964,532.25,0.5848901098901099,2.409000661813369
SWA,E117S29A,565,4,225.25,0.794671876361515,339.75,0.6013274336283185,2.5083240843507215
SWA,E113S26A,244,3,127.33333333333333,0.700250597871405,116.66666666666667,0.47814207650273227,1.9162303664921467
SWA,E113S25C,142,2,75,0.943661971830986,67,0.47183098591549294,1.8933333333333333
