"","HDS_richness","mean_QDS_turnover","Elevation","MAP","PDQ","Surface.T","NDVI","CEC","Clay","Soil.C","pH","rough_Elevation","rough_MAP","rough_PDQ","rough_Surface.T","rough_NDVI","rough_CEC","rough_Clay","rough_Soil.C","rough_pH"
"117",69,0.991803278688525,251.082552068318,263.938397712708,20.3804998498564,305.120833442266,26860444.4444445,7.10163502216339,22.205362663269,25.6420210266113,64.8958963775635,23.8721810242471,33.9913948188717,2.10285182419536,0.638141661196781,3054522.25769478,0.851690302131349,0.688407405338281,7.9011696939749,1.6063048636987
"118",336,0.91620773712412,289.55025349497,233.817693977356,20.9206531440218,306.759181917211,21881208.7962962,7.51986573219299,23.0380820846558,27.0820347213745,66.8881583404541,30.137946652615,24.3156077872538,2.09138291267049,0.820705682432056,3044659.02183178,0.602051293245612,0.548698996417928,5.60581612147428,1.34161028513778
"119",183,0.947581933325817,328.67643646613,224.576104643749,22.7463633370155,306.571099357872,20533633.1126018,6.96581626565833,22.1978135108948,21.664651707599,68.0728625247353,36.9996705671192,18.0925269171839,2.28537971574039,0.437790137958042,1643075.34401297,0.575537936633691,0.701355001119743,6.19844704706866,1.18038552294721
"143",585,0.814184174793215,84.023834633669,319.527672839421,16.8420524640184,301.644568561431,32099753.2485216,12.6550295012338,10.5183170082502,63.4858290808541,27.7285136308001,62.9757851232505,22.3589993360765,1.63525595557389,1.97048188412324,2781793.71064237,2.20484947768378,6.78853466268263,10.824230771852,20.4673594014866
"144",923,0.785236593635476,209.426371353696,364.993004654393,19.1437361926418,305.04777587146,34773812.4957887,9.44890660950632,20.3613962042332,49.3107700925885,60.3520955991745,57.5284696078942,40.5622051730204,2.84168337413762,1.02415749658282,3501932.70326541,1.46689313183773,2.74204222339386,10.113159694946,10.3556481547934
"145",923,0.785236593635476,260.330372190136,300.645844298469,24.0541168135145,305.538663126362,28058989.0795207,8.98270784854889,21.4788479614258,40.8882915306091,65.3971468734741,42.0482519763644,38.4668292303869,3.39373244993184,0.698026425518233,3917715.34383456,0.735623349115905,1.36035275146617,9.0137918255867,3.68187484807417
"146",397,0.901608915948235,281.873747790184,273.725643641154,25.1087920874357,306.254027015251,24906429.6296296,8.33065636157989,23.0906681251526,39.6986358642578,65.9501879501343,29.9788753787631,31.1916147876514,2.33218994139802,0.617066970530876,2738170.56434662,0.80465593639173,0.767509430779352,9.1307311981045,0.899726559823018
"147",397,0.901608915948235,335.45952197378,256.811434817844,24.6332732158899,305.494810784314,24026602.0152504,7.73251513004303,22.7705099487305,29.0193227577209,66.1622064208984,26.8254981377934,22.9285339299946,2.2985710824941,0.645591521104816,1880956.90494845,0.772150548159727,0.516144988969056,9.05435832179778,0.761633431507131
"148",335,0.805459308781798,351.085454391774,246.65836619907,26.8338241504961,306.267530337691,21538422.9847495,8.14158648490906,22.8988961219788,30.5994573020935,67.2872068023682,29.7753271927667,15.8443281573179,1.91409092579991,0.665927562655952,1483292.20338882,0.693780368819045,0.602506474750909,6.9316773968913,0.826148423890192
"149",71,0.896281203696818,386.489892900459,234.815321050804,24.9449444607812,305.645909641634,21472421.8020542,7.44233167414763,21.9461053926118,25.0932641807868,68.2100626887107,33.7580537054404,11.2391878107946,1.73138315414473,0.310878321065196,931562.839390155,0.669932647573448,0.752277898952349,5.39040076195105,1.15138867162096
"172",1297,0.743298923219602,90.1177418146652,372.923715305042,20.4635755310727,303.196373444846,37905882.4342342,9.95379837354024,16.1752573330474,59.9564395095363,42.905833967926,78.0314073200777,31.106716736445,2.81358439279961,1.62750627732517,4291858.92539188,1.23763456810334,4.95973759024369,10.3991383780364,17.3039810820054
"173",874,0.751769462721371,229.002209088311,360.311612959968,26.7809521784475,305.383990577342,34005751.6339869,9.35513992786407,21.138659992218,46.268978843689,63.2754672622681,72.2630504016373,32.2590534639033,3.43211529896355,1.27538020453326,4899397.0502726,0.888598612909499,3.22052631594157,7.9939757911391,9.5647580594118
"174",841,0.790236815649632,293.383757597336,312.72958059099,29.060559726728,306.053188507625,26430807.9793027,8.99373492717743,22.7182085800171,52.812340888977,66.0615467453003,41.8233354403471,38.2965218499266,2.55531824669272,0.786543258290963,3576683.91736358,0.517240982253677,1.10133106445687,7.90733978093807,1.5182581316183
"175",374,0.857597786426933,326.902537803786,286.181126391093,27.6655197528336,305.201300163399,25541845.1252723,9.23015287399292,23.9110608673096,45.6149997329712,65.5187244796753,25.5751191677345,22.4167109995712,1.7847985715736,0.565659985475621,1765522.47942387,0.563994540108575,0.69484729554918,6.79051072014703,0.88596105787489
"176",243,0.932873462649137,332.705302725345,271.9108945126,28.651171844999,304.944895152506,25134860.2941176,9.10905586242676,23.1967258644104,37.6444528388977,65.4380183792114,17.9665703171162,15.8669850378212,2.18575466680366,0.482950060641485,1696425.86973058,0.90095460864692,0.603127883469978,7.90012364264248,1.3817188955813
"177",480,0.90348751243253,343.407331528454,252.917213452657,28.5778629136085,305.226600653595,21829721.6230937,7.57195216178894,22.9367834091187,29.4310431098938,66.7748677444458,17.4851081272819,13.3478404326975,2.41769533894939,0.47251232554209,1822790.37834673,1.01012100314126,0.612042418474466,6.751015442227,2.17127953424334
"178",480,0.90348751243253,332.593882578418,251.294631245931,26.7327538053195,305.340821568627,21330495.6427016,6.62881162643433,23.2011430358887,28.7343599700928,67.2844879150391,22.3210250421825,13.0323775616974,3.59692380727786,0.512838100239078,1726219.70228138,1.49756662002497,0.716843534053876,6.21305376523434,2.41063948488123
"200",518,0.793436293436293,19.8416343242254,346.444885526385,22.1153789680437,300.394285433309,45215031.5450255,13.3052083969116,5.26497016935831,77.0380367279053,13.2265508190862,90.6026584915615,41.7769834054647,2.44579260007781,2.56730402206045,6322758.43018744,2.50897291835269,10.1906281977828,18.5722169363812,29.6439452325148
"201",948,0.779616264715912,131.561851195627,417.975176213583,23.6575825083972,303.853715250545,37954522.5220672,10.4899584644973,19.8730608175322,51.1747357146909,58.8698902248591,91.1501280631445,49.6283123431111,3.54297138446831,1.38466388206071,4514728.74773532,1.17158224736425,5.15014336319764,7.81492716730243,16.1527684698051
"202",948,0.779616264715912,265.727174725292,352.637686860826,29.2478513512597,304.643287962963,32358448.8562091,8.89338519096374,23.3716967010498,47.3163019561768,64.0283115768433,55.5573191304307,44.6213024450232,1.70818677273817,0.998317538126344,4115953.58135399,0.653617577287217,1.71926461417228,4.38476070334481,3.04218561775982
"203",638,0.797609842660857,290.991716214235,294.350891418457,29.4080105185813,305.37850087146,25712680.0653594,8.46828774929047,24.6950298690796,51.3514026832581,65.8274353408814,19.790942641125,27.8130357652829,1.22762483272824,0.925110015734643,2176760.81457274,0.520281568633185,1.41534318553077,6.38806246863471,1.55820216602749
"204",520,0.831362564991739,310.902885861813,281.22367348565,31.6025226620833,304.366334204793,26994080.3376907,9.36425532341003,23.9610576629639,46.5964197158813,62.8111548233032,16.8285099689177,12.4809972612358,2.13627202405804,0.651021713870736,1972752.1181312,0.858135803010729,0.534061248567369,5.38697936587863,1.78141193813748
"205",520,0.831362564991739,325.945928060587,272.249509565565,34.0143396241797,304.722187091503,24383324.8638346,10.6527447557449,23.4132974243164,41.6813780021667,62.7818050765991,10.4153354505101,8.06391077556976,2.73522182842106,0.573571030723946,1784166.57657266,1.7827877756399,0.957956402625334,6.8906123281008,2.39401242409596
