region,hdgc,dgc,lat,lon,n_collections,HDS_richness,mean_QDS_richness
SWAFR,E116S33A,E116S33,-33.25,116.25,4189,882,420.75
SWAFR,E116S33B,E116S33,-33.25,116.75,2158,783,296.25
SWAFR,E116S33C,E116S33,-33.75,116.25,3654,968,414.5
SWAFR,E116S33D,E116S33,-33.75,116.75,3065,1035,421.75
SWAFR,E116S34A,E116S34,-34.25,116.25,6430,1220,602.5
SWAFR,E116S34B,E116S34,-34.25,116.75,4210,1075,490.75
SWAFR,E116S34C,E116S34,-34.75,116.25,5333,924,459.5
SWAFR,E116S34D,E116S34,-34.75,116.75,10770,1200,639.75
SWAFR,E117S28A,E117S28,-28.25,117.25,257,120,37.75
SWAFR,E117S28C,E117S28,-28.75,117.25,851,466,154
SWAFR,E117S29A,E117S29,-29.25,117.25,1846,551,220.75
SWAFR,E117S29C,E117S29,-29.75,117.25,2594,604,230.5
SWAFR,E117S29D,E117S29,-29.75,117.75,879,347,109.25
SWAFR,E117S30A,E117S30,-30.25,117.25,1654,499,204.5
SWAFR,E117S30B,E117S30,-30.25,117.75,1554,485,195
SWAFR,E117S30C,E117S30,-30.75,117.25,4052,846,340.25
SWAFR,E117S30D,E117S30,-30.75,117.75,1624,569,220.75
SWAFR,E117S31A,E117S31,-31.25,117.25,3175,829,337
SWAFR,E117S31B,E117S31,-31.25,117.75,2454,678,290.5
SWAFR,E117S31C,E117S31,-31.75,117.25,5053,1073,462.75
SWAFR,E117S31D,E117S31,-31.75,117.75,3324,955,390
SWAFR,E117S32A,E117S32,-32.25,117.25,2515,826,325.25
SWAFR,E117S32B,E117S32,-32.25,117.75,2426,786,317
SWAFR,E117S32C,E117S32,-32.75,117.25,5875,1100,510.5
SWAFR,E117S32D,E117S32,-32.75,117.75,3228,838,349.75
SWAFR,E117S33A,E117S33,-33.25,117.25,3400,1064,437.5
SWAFR,E117S33B,E117S33,-33.25,117.75,2308,810,310.5
SWAFR,E117S33C,E117S33,-33.75,117.25,2917,899,362.5
SWAFR,E117S33D,E117S33,-33.75,117.75,1637,626,220.75
SWAFR,E117S34A,E117S34,-34.25,117.25,2250,836,311.75
SWAFR,E117S34B,E117S34,-34.25,117.75,10617,1588,716
SWAFR,E117S34C,E117S34,-34.75,117.25,8043,1321,618.25
SWAFR,E117S34D,E117S34,-34.75,117.75,15007,1797,960.5
SWAFR,E118S29B,E118S29,-29.25,118.75,92,67,17
SWAFR,E118S29C,E118S29,-29.75,118.25,127,74,19.5
SWAFR,E118S30C,E118S30,-30.75,118.25,1532,496,200.25
SWAFR,E118S31A,E118S31,-31.25,118.25,3918,883,368.25
SWAFR,E118S31B,E118S31,-31.25,118.75,2994,667,282.5
SWAFR,E118S31C,E118S31,-31.75,118.25,2497,725,306.75
SWAFR,E118S31D,E118S31,-31.75,118.75,2198,655,270.25
SWAFR,E118S32A,E118S32,-32.25,118.25,2924,848,318.25
SWAFR,E118S32B,E118S32,-32.25,118.75,2278,691,253.25
SWAFR,E118S32C,E118S32,-32.75,118.25,2997,888,346.25
SWAFR,E118S32D,E118S32,-32.75,118.75,2191,694,266.5
SWAFR,E118S33A,E118S33,-33.25,118.25,5125,1018,416.5
SWAFR,E118S33B,E118S33,-33.25,118.75,3896,872,380.5
SWAFR,E118S33C,E118S33,-33.75,118.25,3196,865,340
SWAFR,E118S33D,E118S33,-33.75,118.75,2702,887,333.75
SWAFR,E118S34A,E118S34,-34.25,118.25,9926,1530,649.25
SWAFR,E118S34B,E118S34,-34.25,118.75,5015,1242,519.5
SWAFR,E118S34C,E118S34,-34.75,118.25,9105,1462,691
SWAFR,E119S31C,E119S31,-31.75,119.25,893,377,121.75
SWAFR,E119S32A,E119S32,-32.25,119.25,1984,692,260.5
