resolution,region,variable,roughness,z_roughness
0.05 x 0.05,GCFR,Elevation,93.29082865824832,0.529740778331781
0.05 x 0.05,GCFR,Elevation,146.1459262472638,1.3034387687863211
0.05 x 0.05,GCFR,Elevation,54.28113437553594,-0.04128686992769361
0.05 x 0.05,GCFR,Elevation,100.34771552728516,0.6330401654957833
0.05 x 0.05,GCFR,Elevation,27.47525860756977,-0.43367385169649975
0.05 x 0.05,GCFR,Elevation,98.06653988136624,0.599648097490443
0.05 x 0.05,GCFR,Elevation,91.78348640050805,0.5076761577192326
0.05 x 0.05,GCFR,Elevation,40.21968039168406,-0.24711978267282433
0.05 x 0.05,GCFR,Elevation,171.9932930641941,1.6817950045518646
0.05 x 0.05,GCFR,Elevation,42.35299199403099,-0.2158921627262443
0.05 x 0.05,GCFR,Elevation,146.5701836631497,1.3096490895515709
0.05 x 0.05,GCFR,Elevation,133.99942883187248,1.1256371740485114
0.05 x 0.05,GCFR,Elevation,292.67098704925934,3.4482866692713907
0.05 x 0.05,GCFR,Elevation,15.701800174747643,-0.6060148660108432
0.05 x 0.05,GCFR,Elevation,32.93061381247797,-0.3538178387141233
0.05 x 0.05,GCFR,Elevation,81.45293220360857,0.35645651407063345
0.05 x 0.05,GCFR,Elevation,323.786481062134,3.903758256457799
0.05 x 0.05,GCFR,Elevation,24.27668827696128,-0.48049483112902297
0.05 x 0.05,GCFR,Elevation,37.914050308301235,-0.2808698170803959
0.05 x 0.05,GCFR,Elevation,40.25649601740284,-0.24658087201074533
0.05 x 0.05,GCFR,Elevation,61.848172350758254,0.06948015808247546
0.05 x 0.05,GCFR,Elevation,26.921819487273225,-0.44177514664711875
0.05 x 0.05,GCFR,Elevation,39.45248427387598,-0.25835007306502283
0.05 x 0.05,GCFR,Elevation,121.13074113034399,0.9372640886012368
0.05 x 0.05,GCFR,Elevation,158.58401050275734,1.485508639670063
0.05 x 0.05,GCFR,Elevation,47.17604947859753,-0.14529178444917584
0.05 x 0.05,GCFR,Elevation,23.905648834342163,-0.4859261420948256
0.05 x 0.05,GCFR,Elevation,33.0170634622434,-0.35255238044519543
0.05 x 0.05,GCFR,Elevation,35.97090985386723,-0.3093136935151063
0.05 x 0.05,GCFR,Elevation,59.12954362694488,0.029684609945155694
0.05 x 0.05,GCFR,Elevation,150.16253585134487,1.3622342856025418
0.05 x 0.05,GCFR,Elevation,420.4041051945289,5.3180563098826665
0.05 x 0.05,GCFR,Elevation,106.84596636335996,0.7281621848028763
0.05 x 0.05,GCFR,Elevation,33.74365591372534,-0.3419164504169847
0.05 x 0.05,GCFR,Elevation,16.93468185150175,-0.5879678257198588
0.05 x 0.05,GCFR,Elevation,144.15020915071244,1.274225270419071
0.05 x 0.05,GCFR,Elevation,283.2771367188725,3.310778586706399
0.05 x 0.05,GCFR,Elevation,64.20966744120447,0.10404794982421682
0.05 x 0.05,GCFR,Elevation,54.82744760307069,-0.03328988447911863
0.05 x 0.05,GCFR,Elevation,35.27208836382416,-0.3195431095448883
0.05 x 0.05,GCFR,Elevation,89.83564232813215,0.4791634292737321
0.05 x 0.05,GCFR,Elevation,23.419750370625614,-0.4930387704332617
0.05 x 0.05,GCFR,Elevation,44.935187999008235,-0.17809372981925756
0.05 x 0.05,GCFR,Elevation,68.64113999061752,0.16891627024423017
0.05 x 0.05,GCFR,Elevation,20.067703057081783,-0.5421063606695606
0.05 x 0.05,GCFR,Elevation,22.2428709682208,-0.5102660440583733
0.05 x 0.05,GCFR,Elevation,78.54363373906666,0.31386992397196445
0.05 x 0.05,GCFR,Elevation,73.03737012834407,0.23326870886013384
0.05 x 0.05,GCFR,Elevation,51.14041314257566,-0.08726104871767432
0.05 x 0.05,GCFR,Elevation,62.155732002545335,0.07398224577859232
0.05 x 0.05,GCFR,Elevation,142.59082027244176,1.251398786380833
0.05 x 0.05,GCFR,Elevation,123.36694823609112,0.9699979028003857
0.05 x 0.05,GCFR,Elevation,36.3000840153186,-0.3044952105524068
0.05 x 0.05,GCFR,Elevation,108.69175976535467,0.7551810857426099
0.05 x 0.05,GCFR,Elevation,5.9500170007425215,-0.7487624038877608
0.05 x 0.05,GCFR,Elevation,58.52922235241473,0.020897049522079027
0.05 x 0.05,GCFR,Elevation,60.62783204759736,0.05161669962161186
0.05 x 0.05,GCFR,Elevation,25.304091700287454,-0.4654556012292985
0.05 x 0.05,GCFR,Elevation,494.06349478457804,6.396289523016929
0.05 x 0.05,GCFR,Elevation,22.62074083115432,-0.504734748744565
0.05 x 0.05,GCFR,Elevation,49.0933435009102,-0.11722625056806718
0.05 x 0.05,GCFR,Elevation,31.059823901477365,-0.3812026409513366
0.05 x 0.05,GCFR,Elevation,189.71279050430752,1.9411747084336204
0.05 x 0.05,GCFR,Elevation,37.801967517553685,-0.2825104957267624
0.05 x 0.05,GCFR,Elevation,115.33472108444892,0.8524213909864808
0.05 x 0.05,GCFR,Elevation,14.213396719815417,-0.6278022586105304
0.05 x 0.05,GCFR,Elevation,251.4796291654801,2.845323619868242
0.05 x 0.05,GCFR,Elevation,163.75577791780833,1.561213467371579
0.05 x 0.05,GCFR,Elevation,165.63230347843466,1.5886822285984035
0.05 x 0.05,GCFR,Elevation,83.27274516513907,0.3830951108297829
0.05 x 0.05,GCFR,Elevation,109.0674430555175,0.7606803737943784
0.05 x 0.05,GCFR,Elevation,67.83819818248217,0.15716273100688405
0.05 x 0.05,GCFR,Elevation,105.4322052167582,0.7074674134751661
0.05 x 0.05,GCFR,Elevation,41.75641249285648,-0.22462495071188254
0.05 x 0.05,GCFR,Elevation,122.23410479895547,0.9534152318605515
0.05 x 0.05,GCFR,Elevation,56.546113821427234,-0.00813188345253624
0.05 x 0.05,GCFR,Elevation,92.94612444812361,0.5246949650263463
