resolution,region,variable,roughness,z_roughness
HDS,SWA,NDVI,9638864.579466902,1.876930970304849
HDS,SWA,NDVI,8112375.157218031,1.3392266609918921
HDS,SWA,NDVI,7145299.662590012,0.9985753251140687
HDS,SWA,NDVI,5966034.556291466,0.5831804194979127
HDS,SWA,NDVI,5568009.76065377,0.44297659973445974
HDS,SWA,NDVI,6748503.898222057,0.8588044303354785
HDS,SWA,NDVI,13335810.805310737,3.179176428387303
HDS,SWA,NDVI,5399889.891905949,0.38375655104676343
HDS,SWA,NDVI,6286949.388924932,0.6962223350948413
HDS,SWA,NDVI,7665023.172202585,1.1816473901390783
HDS,SWA,NDVI,7837321.029931959,1.2423391310946015
HDS,SWA,NDVI,7340364.878901533,1.0672868444204033
HDS,SWA,NDVI,7038514.232613233,0.9609602686102643
3QDS,Cape,NDVI,1562959.6689360682,-1.284664985733455
3QDS,Cape,NDVI,2749960.5872201035,-0.8672847195995701
3QDS,Cape,NDVI,1728485.9179366946,-1.2264616694631523
3QDS,Cape,NDVI,845693.7837892255,-1.5368742481021207
3QDS,Cape,NDVI,3066958.2802060535,-0.755820120521102
3QDS,Cape,NDVI,3314086.1930728,-0.6689235457564038
3QDS,Cape,NDVI,4148004.5579313766,-0.37569625022762326
3QDS,Cape,NDVI,2049719.5276634379,-1.113507612348587
3QDS,Cape,NDVI,3003843.1604777155,-0.7780130312960727
3QDS,Cape,NDVI,3804460.775212979,-0.49649514199843414
3QDS,Cape,NDVI,3616317.049069702,-0.5626513490236346
3QDS,Cape,NDVI,1472582.2188283824,-1.3164440379628157
3QDS,Cape,NDVI,2703761.239693583,-0.8835296067507161
3QDS,Cape,NDVI,5040347.317130938,-0.06192542445962155
3QDS,Cape,NDVI,4189474.721619225,-0.3611142665997823
3QDS,Cape,NDVI,3178004.7455859273,-0.7167733071955641
3QDS,Cape,NDVI,4729230.2003616,-0.17132226063369488
3QDS,Cape,NDVI,6317306.193480279,0.3870863896367002
3QDS,Cape,NDVI,7748208.158385302,0.8902285807875978
3QDS,Cape,NDVI,2567482.896904993,-0.9314486016775388
3QDS,Cape,NDVI,3450973.1007464705,-0.6207905636541864
3QDS,Cape,NDVI,2471693.217552078,-0.9651307338859928
3QDS,Cape,NDVI,3770026.6848936044,-0.5086030599959666
3QDS,Cape,NDVI,4620196.357931031,-0.20966138360342235
3QDS,Cape,NDVI,7913314.457486171,0.9482842317964639
3QDS,Cape,NDVI,9010234.876445109,1.3339898612871564
3QDS,Cape,NDVI,5978199.171595354,0.2678475778868248
3QDS,Cape,NDVI,7737876.848655063,0.8865958247060334
3QDS,Cape,NDVI,9638408.924417965,1.5548721262312615
3QDS,Cape,NDVI,14249209.825535774,3.1761491425801296
3QDS,Cape,NDVI,12239311.904439004,2.469416977265515
3QDS,Cape,NDVI,13675312.23802825,2.9743518868932837
3QDS,Cape,NDVI,8585540.71184468,1.1846563934557368
3QDS,Cape,NDVI,3843053.7754785097,-0.4829248435482708
