region,hdgc,lon,lat,n_QDS,CEC_mean_value,CEC_roughness,Clay_mean_value,Clay_roughness,Elevation_mean_value,Elevation_roughness,MAP_mean_value,MAP_roughness,NDVI_mean_value,NDVI_roughness,PDQ_mean_value,PDQ_roughness,pH_mean_value,pH_roughness,Soil.C_mean_value,Soil.C_roughness,Surface.T_mean_value,Surface.T_roughness,PC1,PC2,HDS_richness,mean_QDS_richness,mean_QDS_turnover,add_turnover,add_turnover_prop,mul_turnover
GCFR,E018S33B,18.75,-33.25,4,11.02215027809143,3.824824810028076,21.563632011413574,2.9740664164225263,158.52369499206543,89.52594884236655,445.11441802978516,92.00189717610677,42490107,3935530,32.75441551208496,5.434120814005534,59.67551231384277,1.6720034281412761,49.433183670043945,12.900531768798828,301.26539611816406,1.271881103515625,1.6431494072364714,0.29371100768205394,1144,384.25,0.877065903690899,759.75,0.6641171328671329,2.977228366948601
GCFR,E018S33D,18.75,-33.75,4,13.26443362236023,4.157594521840414,25.388160228729248,4.948756217956543,158.92211532592773,108.73250579833984,586.8919830322266,113.0969950358073,45826369,5579668.666666666,47.38012409210205,15.397231419881185,57.53194999694824,2.565479278564453,64.6452465057373,21.23025131225586,299.7287826538086,2.029973347981771,2.992716345655,0.3267408415904061,3029,1345.5,0.71424354072772,1683.5,0.555793991416309,2.251207729468599
GCFR,E019S30C,19.25,-30.75,4,11.264797925949097,2.838280518849691,20.047831058502197,5.30147139231364,718.2172546386719,233.08793131510419,173.4213523864746,22.29595692952474,15897411.5,6927588.333333333,24.151176929473877,0.6294247309366862,71.45984840393066,3.95834223429362,32.892635345458984,12.561538696289062,306.00926971435547,2.381078084309896,1.7413845545865967,-2.2381758579983826,322,98.5,0.924277467440994,223.5,0.6940993788819876,3.269035532994924
GCFR,E019S31A,19.25,-31.25,4,13.373135805130005,2.44876495997111,25.22173833847046,1.2616764704386394,678.3843841552734,80.626312255859375,239.19878005981445,52.57147979736328,27100730.5,8814049,19.23720407485962,1.1510356267293294,66.18019771575928,3.03434689839681,62.96394157409668,5.111872355143229,304.19527435302734,1.340215047200521,0.7390035730696759,-0.3000194544173804,1448,440.75,0.92182544053809,1007.25,0.695614640883978,3.285309132161089
GCFR,E019S31B,19.75,-31.25,4,14.835367918014526,2.5908424059549966,23.796164512634277,2.4318307240804033,1024.7147064208984,216.43148803710938,200.294189453125,37.17896525065104,20456839.25,3312766.8333333335,28.389991760253906,4.975270589192708,66.78918075561523,2.4064000447591143,60.515541076660156,8.18252436319987,303.87291717529297,1.8436737060546875,1.4654195447649963,-0.01948547281879124,786,256.5,0.915020844040658,529.5,0.6736641221374046,3.064327485380117
GCFR,E019S31C,19.25,-31.75,4,11.82683777809143,1.9743062655131023,20.773233890533447,2.4457565943400064,635.3819046020508,251.00293477376303,221.3343963623047,37.209543863932296,25785723,2233054.6666666665,18.230703592300415,2.559770743052165,66.36511993408203,1.4147898356119792,47.531935691833496,10.19514528910319,302.8175735473633,1.0688832600911458,0.7011888233925708,-0.11745436749105771,1193,379,0.90304845245013,814,0.6823134953897737,3.1477572559366753
GCFR,E019S31D,19.75,-31.75,4,15.316728591918945,3.2467505137125654,24.196595191955566,1.6115576426188152,942.2782897949219,345.91746012369794,226.91360473632812,21.21886189778646,22402458.5,2558643,23.995559692382812,9.861693700154623,66.53473281860352,1.9919840494791667,57.53500461578369,9.175990422566732,302.6139907836914,1.3536326090494792,1.3734169047493174,0.36358415722350435,435,137.5,0.917172494939968,297.5,0.6839080459770115,3.1636363636363636
GCFR,E019S32A,19.25,-32.25,4,14.486432552337646,2.088970184326172,20.676274299621582,3.7469711303710938,781.0204315185547,421.49543253580725,278.7084732055664,60.637288411458336,24615081,6921660,23.313706874847412,8.234714190165203,63.675456047058105,3.842922846476237,65.5293436050415,17.068571090698242,299.6662139892578,4.443135579427083,3.201469003031418,-0.08741304513368135,2027,783,0.845592425690427,1244,0.613714849531327,2.5887611749680715
GCFR,E019S32B,19.75,-32.25,4,11.741597890853882,1.5755724906921387,18.084199905395508,2.1655279795328775,378.981689453125,67.03521728515625,160.6237335205078,12.751520792643229,12650354,3349989.6666666665,11.602095603942871,1.699429194132487,71.12785720825195,1.6667302449544272,43.06611728668213,8.969199498494467,307.3798828125,1.07843017578125,-0.15078910819639607,-0.8393673115901913,421,180,0.71678497262288,241,0.5724465558194775,2.338888888888889
GCFR,E019S32C,19.25,-32.75,4,15.52688717842102,1.9425346056620278,21.249929428100586,2.1187197367350263,903.3030700683594,358.02809651692706,400.0630416870117,72.59569803873698,33302668,11805130,36.64565944671631,5.03235944112142,60.46732425689697,4.780649185180664,70.70214557647705,11.47773806254069,297.50836181640625,1.2601216634114583,2.492297352926396,0.04178816424601422,1898,777.25,0.782759396920888,1120.75,0.5904899894625922,2.441942746863943
GCFR,E019S32D,19.75,-32.75,4,11.498668670654297,1.792160669962565,19.679312705993652,0.6441987355550131,666.099723815918,410.15076192220056,203.18360137939453,68.822174072265625,13507504,4434190.666666667,24.728429555892944,15.134673913319906,70.18706130981445,3.8787689208984375,40.909043312072754,7.467288335164388,304.6785583496094,6.012176513671875,2.442790017497708,1.6458091336828704,1022,298.25,0.945561739279801,723.75,0.7081702544031311,3.426655490360436
GCFR,E019S33A,19.25,-33.25,4,15.644901752471924,1.8156509399414062,23.89507484436035,2.217156728108724,768.46600341796875,517.657246907552,500.6210479736328,119.88278198242188,39335179.5,7003202.333333333,53.768476486206055,4.160647074381511,59.425601959228516,4.327056884765625,73.304534912109375,24.522886912027996,297.16922760009766,3.198277791341146,3.136342593442069,0.12484695642969947,2655,1181.5,0.715191420240532,1473.5,0.5549905838041431,2.2471434617012274
GCFR,E019S33B,19.75,-33.25,4,14.82291865348816,4.971646785736084,22.84130620956421,2.4176041285196943,1086.4644165039062,500.40667724609375,309.7479476928711,148.31375630696616,24154895.5,4647530.333333333,38.47508907318115,8.389493942260742,63.626699447631836,6.698478698730469,63.0062198638916,39.38601938883463,298.0195007324219,5.988555908203125,4.2792966413237545,0.0815794020109065,1407,498,0.864236787303941,909,0.6460554371002132,2.825301204819277
GCFR,E019S33C,19.25,-33.75,4,15.250381231307983,1.180689016977946,26.711115837097168,3.3732630411783857,530.9691925048828,359.9371744791667,568.0500946044922,243.9348347981771,43383250,5271110.666666667,53.68548393249512,23.491682688395183,56.94810104370117,3.914235432942708,83.80553913116455,31.09923871358236,296.7537307739258,3.340337117513021,3.684266904777578,1.2449835088488308,3040,1370.5,0.712178383939485,1669.5,0.5491776315789474,2.2181685516234952
GCFR,E019S33D,19.75,-33.75,4,15.061041355133057,2.3358214696248374,26.476707458496094,1.7248738606770833,592.1877365112305,487.57006327311194,375.33534240722656,72.056365966796875,33561779,9329584.666666668,44.36143112182617,2.9023284912109375,60.5515775680542,1.7993577321370442,67.23023319244385,13.678592046101889,298.3262710571289,3.265385945638021,2.397154972624907,0.25610692823156134,1819,653.5,0.844555262539352,1165.5,0.6407366684991753,2.7834736036725327
GCFR,E019S34B,19.75,-34.25,4,14.026880979537964,1.200510819753011,28.303711414337158,1.3361895879109702,234.14359283447266,99.00498962402344,472.5748977661133,57.195988972981766,46511399,8558775.333333334,60.584208488464355,2.3814881642659502,58.934316635131836,2.192399342854818,71.71305561065674,11.467624028523764,297.9024353027344,2.1486104329427085,1.1864210385262022,0.2564832484327522,2122,841,0.795657794301564,1281,0.6036757775683318,2.5231866825208087
GCFR,E020S32A,20.25,-32.25,4,12.63034999370575,3.507631222407023,20.587937355041504,2.8692709604899087,1052.2770309448242,451.44325256347656,204.32598114013672,53.44756062825521,20772081.75,7579109.833333333,26.33337116241455,13.838547388712565,67.10016441345215,4.083362579345703,43.91538763046265,14.96578311920166,302.10479736328125,4.360941569010417,3.469368463581107,0.17966183734047828,740,279.5,0.834937379499541,460.5,0.6222972972972973,2.6475849731663685
GCFR,E020S32B,20.75,-32.25,4,16.695780992507935,1.615839163462321,22.537965297698975,0.8656581242879232,1462.70263671875,153.20829264322916,222.23878860473633,28.89310963948568,18098663.25,4056520.1666666665,38.79064178466797,5.943472544352213,65.226348876953125,2.6421801249186196,43.36687660217285,14.985215504964193,300.11956787109375,1.8111979166666665,1.2074583081229708,0.5397591447688174,257,72,0.975485528207061,185,0.7198443579766537,3.5694444444444446
GCFR,E020S32C,20.25,-32.75,4,12.772462606430054,2.550968329111735,20.753068447113037,2.131130536397298,840.4487609863281,230.49650065104166,211.2902946472168,35.399681091308594,24326081.5,2579511.666666667,25.607045650482178,6.299993832906087,66.23051261901855,1.252129872639974,49.823734283447266,10.052054087320965,302.7624206542969,1.4893086751302083,1.1324452569077403,0.42543431408433197,232,68.75,0.938627674304475,163.25,0.7036637931034483,3.3745454545454545
