region,rank,richness,avg_QDS_richness,avg_QDS_turnover,HDS_cell_no,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,roughness_Elevation,roughness_MAP,roughness_PDQ,roughness_Surface_T,roughness_NDVI,roughness_CEC,roughness_Clay,roughness_Soil_C,roughness_pH,rank,richness,avg_QDS_richness,avg_QDS_turnover,HDS_cell_no,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,roughness_Elevation,roughness_MAP,roughness_PDQ,roughness_Surface_T,roughness_NDVI,roughness_CEC,roughness_Clay,roughness_Soil_C,roughness_pH,rank,richness,avg_QDS_richness,avg_QDS_turnover,HDS_cell_no,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,roughness_Elevation,roughness_MAP,roughness_PDQ,roughness_Surface_T,roughness_NDVI,roughness_CEC,roughness_Clay,roughness_Soil_C,roughness_pH
GCFR,species,552,241,0.9212317343168145,cell_215,498.76869830065334,183.0723136741535,14.379292220253774,304.2767067097201,23090346.672071345,8.829120160262395,17.634640839603794,42.18555935218864,67.47612359119492,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,233,241,0.7360727042210419,cell_215,498.76869830065334,183.0723136741535,14.379292220253774,304.2767067097201,23090346.672071345,8.829120160262395,17.634640839603794,42.18555935218864,67.47612359119492,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,63,241,0.5661439617089334,cell_215,498.76869830065334,183.0723136741535,14.379292220253774,304.2767067097201,23090346.672071345,8.829120160262395,17.634640839603794,42.18555935218864,67.47612359119492,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,244,95.5,0.9605434647437024,cell_216,644.1732018532584,172.57941034091482,18.975433651109153,305.0658826694364,19095957.49720491,9.226458648177406,18.433589381718125,35.68645588491515,70.5163309156595,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,139,95.5,0.8393123738812232,cell_216,644.1732018532584,172.57941034091482,18.975433651109153,305.0658826694364,19095957.49720491,9.226458648177406,18.433589381718125,35.68645588491515,70.5163309156595,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,42,95.5,0.6238882373664982,cell_216,644.1732018532584,172.57941034091482,18.975433651109153,305.0658826694364,19095957.49720491,9.226458648177406,18.433589381718125,35.68645588491515,70.5163309156595,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,322,131.5,0.924956516168004,cell_217,722.3319740568863,170.24689888935197,23.356757570607407,305.78282252550224,16078144.16508669,10.930438277417348,20.585694820781026,36.1175994760562,71.33606374315133,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,178,131.5,0.8029848107309907,cell_217,722.3319740568863,170.24689888935197,23.356757570607407,305.78282252550224,16078144.16508669,10.930438277417348,20.585694820781026,36.1175994760562,71.33606374315133,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,45,131.5,0.615836610425025,cell_217,722.3319740568863,170.24689888935197,23.356757570607407,305.78282252550224,16078144.16508669,10.930438277417348,20.585694820781026,36.1175994760562,71.33606374315133,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,664,365.25,0.9271120647935198,cell_245,220.89962097850525,176.08794621271295,15.913244349077178,304.4638841352764,22756656.72852434,7.4466887469612395,17.311161567370924,34.417868092704886,67.70063511143294,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,234,365.25,0.7315087833916459,cell_245,220.89962097850525,176.08794621271295,15.913244349077178,304.4638841352764,22756656.72852434,7.4466887469612395,17.311161567370924,34.417868092704886,67.70063511143294,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,58,365.25,0.5781307088052612,cell_245,220.89962097850525,176.08794621271295,15.913244349077178,304.4638841352764,22756656.72852434,7.4466887469612395,17.311161567370924,34.417868092704886,67.70063511143294,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,684,447.25,0.8858290263484888,cell_246,341.75158716823375,174.48276365205336,14.740783694241822,304.8972475281413,22125336.880196556,8.685389585637447,18.753432839077767,40.236468990298626,68.74366096839039,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,253,447.25,0.70217101223137,cell_246,341.75158716823375,174.48276365205336,14.740783694241822,304.8972475281413,22125336.880196556,8.685389585637447,18.753432839077767,40.236468990298626,68.74366096839039,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,64,447.25,0.5078267823961846,cell_246,341.75158716823375,174.48276365205336,14.740783694241822,304.8972475281413,22125336.880196556,8.685389585637447,18.753432839077767,40.236468990298626,68.74366096839039,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,1452,1361.75,0.9216610327951329,cell_247,631.5850422896995,215.05865708842043,19.61039063565358,304.92634996350665,22375603.489014182,11.92535119817272,23.23991980554127,51.381249698228444,68.23928448950765,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,417,1361.75,0.730149261293161,cell_247,631.5850422896995,215.05865708842043,19.61039063565358,304.92634996350665,22375603.489014182,11.92535119817272,23.23991980554127,51.381249698228444,68.23928448950765,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,87,1361.75,0.5508773837501608,cell_247,631.5850422896995,215.05865708842043,19.61039063565358,304.92634996350665,22375603.489014182,11.92535119817272,23.23991980554127,51.381249698228444,68.23928448950765,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,786,500.75,0.9150208440406583,cell_248,961.1012570012924,188.87936540726767,26.891305337985365,304.27135343403404,18963383.02730395,13.444648604584295,23.80649520205567,52.1739551567733,68.34944492644695,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,299,500.75,0.7710967526070349,cell_248,961.1012570012924,188.87936540726767,26.891305337985365,304.27135343403404,18963383.02730395,13.444648604584295,23.80649520205567,52.1739551567733,68.34944492644695,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,69,500.75,0.54443140979775,cell_248,961.1012570012924,188.87936540726767,26.891305337985365,304.27135343403404,18963383.02730395,13.444648604584295,23.80649520205567,52.1739551567733,68.34944492644695,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,377,313,0.9098143236074271,cell_275,140.23929869387032,214.23818249247728,22.73314963292631,303.5137037870788,25211521.182816923,8.184054614596988,18.559025095972302,38.20943980452458,65.48765839893285,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,174,313,0.6379310344827587,cell_275,140.23929869387032,214.23818249247728,22.73314963292631,303.5137037870788,25211521.182816923,8.184054614596988,18.559025095972302,38.20943980452458,65.48765839893285,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,48,313,0.4791666666666667,cell_275,140.23929869387032,214.23818249247728,22.73314963292631,303.5137037870788,25211521.182816923,8.184054614596988,18.559025095972302,38.20943980452458,65.48765839893285,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,1543,1322,0.791094761250973,cell_276,302.8434050475685,206.44212659543112,15.419025325939156,303.2397633385296,26470247.54094121,9.0805317979863,19.634153188010792,48.47024441125135,65.77856690353818,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,404,1322,0.4904141080353902,cell_276,302.8434050475685,206.44212659543112,15.419025325939156,303.2397633385296,26470247.54094121,9.0805317979863,19.634153188010792,48.47024441125135,65.77856690353818,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,93,1322,0.3386808894083516,cell_276,302.8434050475685,206.44212659543112,15.419025325939156,303.2397633385296,26470247.54094121,9.0805317979863,19.634153188010792,48.47024441125135,65.77856690353818,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,1193,685.25,0.9030484524501295,cell_277,554.4848649216822,218.30101970247134,17.919175486989268,303.63000314544354,24645114.842309467,11.86597997416194,21.917778530565634,52.43070876549301,66.90047394395364,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,381,685.25,0.6952321066977039,cell_277,554.4848649216822,218.30101970247134,17.919175486989268,303.63000314544354,24645114.842309467,11.86597997416194,21.917778530565634,52.43070876549301,66.90047394395364,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,93,685.25,0.49787725144431033,cell_277,554.4848649216822,218.30101970247134,17.919175486989268,303.63000314544354,24645114.842309467,11.86597997416194,21.917778530565634,52.43070876549301,66.90047394395364,NA,NA,NA,NA,NA,NA,NA,NA,NA
